Date,Attack,Death
Aug. 19,1,1
Aug. 20,1,0
Aug. 21,1,2
Aug. 22,0,0
Aug. 23,1,0
Aug. 24,1,2
Aug. 25,0,0
Aug. 26,1,0
Aug. 27,1,1
Aug. 28,1,0
Aug.29,1,1
Aug. 30,8,2
Aug. 31,56,3
Sep. 1,143,70
Sep. 2,116,127
9Sep. 3,54,76
Sep. 4,46,71
Sep. 5,36,45
Sep. 6,20,37
Sep. 7,28,32
Sep. 8,12,30
Sep. 9,11,24
Sep. 10,5,18
Sep. 11,5,15
Sep. 12,1,6
Sep. 13,3,13
Sep. 14,0,6
Sep. 15,1,8
Sep. 16,4,6
Sep. 17,2,5
Sep. 18,3,2
Sep. 19,0,3
Sep. 20,0,0
Sep. 21,2,0
Sep. 22,1,2
Sep. 23,1,3
Sep. 24,1,0
Sep. 25,1,0
Sep. 26,1,2
Sep. 27,1,0
Sep. 28,0,2
Sep. 29,0,1
